year,Cornerback,Defensive Lineman,Linebacker,Offensive Lineman,Quarterback,Running Back,Safety,Special Teamer,Tight End,Wide Receiver
2011,11265916,17818000,16420000,15960000,17228125,12955000,8871428,4300000,8734375,16250000
2011,11000000,16200000,15623000,12800000,16000000,10873833,8787500,3725000,8591000,14175000
2011,10000000,12476000,11825000,11767500,14400000,9479000,8282500,3556176,8290000,11424000
2011,10000000,11904706,10083333,10358200,14100000,7700000,8000000,3500000,7723333,11415000
2011,10000000,11762782,10020000,10000000,13510000,7500000,7804333,3250000,6974666,10800000
2011,9244117,11340000,8150000,9859166,13250000,7033000,7652700,3225000,6133333,9993750
2011,8000000,10000000,7812500,9500000,12950000,6750000,7550000,2900000,5962500,8605200
2011,7900000,9482500,7700000,9420000,12574700,6370002,7500000,2850000,4687500,8273333
2011,7400000,8450000,7200000,8880000,12465000,6000000,5745000,2600000,4536666,7827500
2011,7000000,8383266,7100000,8686750,11320000,4933333,5250000,2600000,4200000,7531250
2011,6837500,7416666,6921250,8533333,9500000,4500000,4256752,2400000,3850000,6525000
2011,6750000,7200000,6575000,8516667,9000000,4323353,4237500,2400000,3812500,6494668
2011,6345000,7100000,6550000,8390000,8879000,4310000,4066075,2375000,3796500,5600000
2011,6330000,7076667,6538413,7984863,7750000,3750000,4000000,2250000,3750000,5145443
2011,6183333,6875000,6488000,7400000,7075000,3750000,4000000,2250000,3023000,4475000
2011,5600000,6419250,6150000,6834000,6410499,3340000,3925000,2200000,3000000,4406250
2011,5400000,6100000,6118333,6730000,6123750,3255000,3750000,2150000,2800000,4200000
2011,5400000,5983333,6075000,6723176,5725000,2822916,3650000,2150000,2675000,4166666
2011,5350000,5600000,6000000,6540000,5610000,2750000,3600000,2100000,2416667,4000000
2011,5116666,5600000,5724168,6500000,5387500,2650500,3500000,2000000,2333333,4000000
2011,5000000,5532000,5650000,6500000,5050000,2610000,3500000,1980000,2250000,3853000
2011,4866667,5300000,5600000,6200000,5000000,2588800,3250000,1916667,2125000,3815000
2011,4864727,5300000,5551250,6093750,4900000,2572500,3156000,1900000,2051667,3610000
2011,4793000,5225000,5378750,5812500,4600000,2475000,3135000,1835000,2002500,3600000
2011,4500000,5166667,5291470,5700000,4004636,2375000,3035000,1835000,1864375,3579655
2011,4400000,5100000,5265000,5500000,4000000,2250000,2600000,1812500,1771250,3500000
2011,4250000,5100000,5225000,5500000,4000000,2250000,2583333,1800000,1720000,3275000
2011,4230000,5000000,5000000,5500000,4000000,2250000,2550000,1700000,1610000,3250000
2011,4166667,4955000,5000000,5473625,3466667,2175000,2513750,1675000,1500000,3225000
2011,3823529,4950000,5000000,5267100,3250000,2140000,2500000,1513333,1383333,3200000
2011,3812500,4900000,4900000,5200000,3250000,2083750,2480000,1500000,1363250,3125000
2011,3600000,4698000,4750000,4915166,3250000,1927333,2458333,1350000,1333333,3017000
2011,3500000,4645000,4566667,4896000,3200000,1920000,2287500,1342500,1225000,2957500
2011,3500000,4640000,4511668,4883333,3050000,1882500,2250000,1340000,1200000,2775000
2011,3480000,4500000,4400000,4879375,2750000,1835000,2000000,1338000,1200000,2755073
2011,3470000,4500000,4350000,4850000,2750000,1835000,2000000,1335000,1060000,2750000
2011,3350818,4500000,4250010,4775000,2740000,1750000,1896750,1290000,1055500,2666833
2011,3333333,4383333,4000000,4747500,2616667,1750000,1835000,1205000,1018334,2600000
